fName,date,name,title,nWordsReport,nWordsCalc,distinctWords
Indobit-A-NYT1986_1-500-35.txt,"january 6, 1986",Hyman M. Cleon Dies at 88,Hyman M. Cleon Dies at 88; Ex-Civil Engineer in Brooklyn,168,198,113
Indobit-A-NYT1983 - April 1 - June 30-248.txt,"may 24, 1983",DR. ALBERT CLAUDE DEAD AT 84,DR. ALBERT CLAUDE DEAD AT 84; WON NOBEL PRIZE IN MEDICINE,475,519,270
Indobit-A-NYT1984_501-1000-325.txt,"july 12, 1984",Robertather,Robertather,105,122,73
Indobit-A-NYT1980_1-500-335.txt,"august 24, 1980",Albert B. Hermann Is Dead at 81,Albert B. Hermann Is Dead at 81; Former National G.O.P. Executive,214,216,120
Indobit-A-NYT1984_501-1000-322.txt,"july 11, 1984",,,158,181,103
Indobit-A-NYT1986_501-1000-113.txt,"september 18, 1986",Pat Phoenix Is Dead at 62,Pat Phoenix Is Dead at 62; Starred in British Soap Opera,148,171,112
Indobit-A-NYT1983 - Jan 1 - March 31-126.txt,"january 22, 1983",OBITUARY,"OBITUARY; Robert Carson, Screen Writer, Won Award for 'Star Is Born'",146,192,116
Indobit-A-NYT1983 - Jan 1 - March 31-51.txt,"january 9, 1983",OBITUARY,"OBITUARY; TOM MCCALL, EX-OREGON GOVERNOR AND ENVIRONMENTALIST, DIES AT 69",706,766,394
Indobit-A-NYT1985 - Oct 1 - Dec 31-285.txt,"december 4, 1985",Laurence Lafore Dies at 68,Laurence Lafore Dies at 68; Was Novelist and Professor,180,228,125
Indobit-A-NYT1986_1-500-386.txt,"april 3, 1986",NATHAN H. MAGER DIES AT 73,NATHAN H. MAGER DIES AT 73; AUTHOR OF ECONOMICS BOOKS,171,201,123
Indobit-A-NYT1986_501-1000-282.txt,"october 30, 1986",Robert Arthur Is Dead at 77,Robert Arthur Is Dead at 77; Produced the 'Francis' Films,167,200,110
Indobit-A-NYT1981 - Jan 1 - March 31-412.txt,"march 26, 1981",Howard T. Walden 2d,"Howard T. Walden 2d, Author Of Books and Articles on Fish",148,159,100
Indobit-A-NYT1981 - July 1 - Sep 30-244.txt,"august 21, 1981",JESSIE MATTHEWS DEAD AT 74,JESSIE MATTHEWS DEAD AT 74; STARRED IN MUSICAL COMEDIES,466,537,275
Indobit-A-NYT1983 - July 1 - Sep 30-111.txt,"july 28, 1983",Henry Primakoff Dead at 69,Henry Primakoff Dead at 69; Professor of Science at Penn,160,166,96
Indobit-A-NYT1986_1-500-244.txt,"february 25, 1986",PHILIP J. LANG IS DEAD AT 74,PHILIP J. LANG IS DEAD AT 74; ORCHESTRATOR AND COMPOSER,184,231,124
Indobit-A-NYT1982_1-500-187.txt,"february 7, 1982",Dr. Selma J. Glick Dies at 62,Dr. Selma J. Glick Dies at 62; Youth Board's Research Chief,117,127,80
Indobit-A-NYT1985 - Oct 1 - Dec 31-158.txt,"november 5, 1985",JAMES E. GROPPI DEAD AT 54,JAMES E. GROPPI DEAD AT 54; EX-PRIEST LED RIGHTS FIGHT,397,469,254
Indobit-A-NYT1982_1001-1500-198.txt,"october 7, 1982",Scott Adams Is Dead at 72,Scott Adams Is Dead at 72; Ex-Librarian and Professor,191,197,100
Indobit-A-NYT1981 - April 1 - June 30-368.txt,"june 10, 1981",14reynolds obit,"14reynolds obit; ROBERT L. REYNOLDS",109,126,79
Indobit-A-NYT1983 - Oct 1 - Dec 31-79.txt,"october 15, 1983",Dr. Hymie Nossel Dies at 53,Dr. Hymie Nossel Dies at 53; Columbia Medical Professor,155,181,100
Indobit-A-NYT1980_1-500-205.txt,"july 22, 1980",ESTHER RAUSHENBUSH DIES AT 82,ESTHER RAUSHENBUSH DIES AT 82; A PRESIDENT AT SARAH LAWRENCE,466,476,228
Indobit-A-NYT1985 - April 1 - June 30-338.txt,"june 27, 1985",Pete McArdle Is Dead at 56,Pete McArdle Is Dead at 56; Ran Marathon in Olympics,135,161,92
Indobit-A-NYT1981 - Oct 1 - Dec 31-147.txt,"october 28, 1981",LLEWELYN-DAVIES,"LLEWELYN-DAVIES, CITY PLANNER, 68",791,789,360
Indobit-A-NYT1985 - Oct 1 - Dec 31-392.txt,"december 29, 1985",AUDREY WOOD IS DEAD AT 80,AUDREY WOOD IS DEAD AT 80; A LEADING THEATRICAL AGENT,628,707,361
Indobit-A-NYT1982_501-1000-47.txt,"april 29, 1982",Robert Eckenrode Dies at 55,Robert Eckenrode Dies at 55; Was Amtrak Vice President,205,218,121
Indobit-A-NYT1983 - Oct 1 - Dec 31-174.txt,"november 6, 1983",Dr.MinoruAraki,"Dr.MinoruAraki,63,IsDead; Medical Examiner in Nassau",155,177,104
Indobit-A-NYT1982_501-1000-314.txt,"july 8, 1982",RAUL ROA OF CUBA DIES AT 75,RAUL ROA OF CUBA DIES AT 75; FOREIGN MINISTER FOR 17 YEARS,585,595,289
Indobit-A-NYT1981 - July 1 - Sep 30-421.txt,"september 27, 1981",Egbert C. Hadley Dead at 92,Egbert C. Hadley Dead at 92; Headed Middlebury Trustees,105,100,64
Indobit-A-NYT1981 - April 1 - June 30-171.txt,"may 2, 1981",WINSTON HARVEY PRICE DIES AT 58,WINSTON HARVEY PRICE DIES AT 58; AUTHORITY ON INFECTIOUS DISEASES,450,463,226
Indobit-A-NYT1984_1-500-3.txt,"january 2, 1984",BYRON G. ROGERS DEAD AT 83,BYRON G. ROGERS DEAD AT 83; SERVED IN CONGRESS 20 YEARS,329,375,205
Indobit-A-NYT1983 - April 1 - June 30-91.txt,"april 21, 1983",Charles ,Charles (Doc) Turner Dies; Athletic Trainer for 60 Years,102,116,78
Indobit-A-NYT1982_501-1000-52.txt,"april 30, 1982",Eugene F. Roth Is Dead at 77,Eugene F. Roth Is Dead at 77; Lawyer and Company Director,170,176,104
Indobit-A-NYT1984_501-1000-163.txt,"may 31, 1984",ARTHUR H. MOTLEY DIES AT 83,ARTHUR H. MOTLEY DIES AT 83; PARADE MAGAZINE PUBLISHER,580,672,344
Indobit-A-NYT1983 - Oct 1 - Dec 31-133.txt,"october 27, 1983",,,171,197,106
Indobit-A-NYT1985 - April 1 - June 30-239.txt,"may 30, 1985",Kay Campbell Is Dead at 80,Kay Campbell Is Dead at 80; Actress on 'All My Children',190,229,144
Indobit-A-NYT1980_501-904-340.txt,"december 21, 1980",KOSYGIN,KOSYGIN: A PRAGMATIC LEADER IN A WORLD OF INTRIGUE AND IDEOLOGY,3961,4085,1577
Indobit-A-NYT1981 - April 1 - June 30-327.txt,"june 2, 1981",THEODORE FRED KUPER DIES AT 95,THEODORE FRED KUPER DIES AT 95; A LAWYER AND AN EDUCATION AIDE,511,537,262
Indobit-A-NYT1985 - Oct 1 - Dec 31-139.txt,"october 31, 1985",Stella Sloat Dies at 83,Stella Sloat Dies at 83; Designer of Sportswear,170,207,131
Indobit-A-NYT1980_501-904-255.txt,"december 4, 1980",Lord Gordon-Walker Dies at 73,Lord Gordon-Walker Dies at 73; Laborite Was Foreign Secretary,186,194,111
Indobit-A-NYT1981 - April 1 - June 30-343.txt,"june 5, 1981",Caroline Hood Carlin Dies at 72,Caroline Hood Carlin Dies at 72; Ex-Rockefeller Center Executive,174,173,93
Indobit-A-NYT1982_1-500-353.txt,"march 19, 1982",Valentine Giamatti Dies at 71,Valentine Giamatti Dies at 71; Taught Italian at Mt. Holyoke,214,237,132
Indobit-A-NYT1984_1001-1500-212.txt,"october 18, 1984",GEORGES THILL IS DEAD AT 86,GEORGES THILL IS DEAD AT 86; WAS FAMOUS FRENCH TENOR,340,396,201
Indobit-A-NYT1985 - Oct 1 - Dec 31-112.txt,"october 27, 1985",FRIENDS,"FRIENDS, FAMILY AND READERS CELEBRATE LIFE OF E.B. WHITE",882,1094,529
Indobit-A-NYT1984_1001-1500-296.txt,"november 2, 1984",KennethO.WilsonDiesat87,KennethO.WilsonDiesat87; Ex-Chief of Newark Academy,139,165,94
Indobit-A-NYT1981 - Oct 1 - Dec 31-220.txt,"november 13, 1981",Dean Carpenter Dead at 79,Dean Carpenter Dead at 79; Former Hilton Vice President,132,139,83
Indobit-A-NYT1984_1-500-143.txt,"february 1, 1984",,,226,254,134
Indobit-A-NYT1981 - Jan 1 - March 31-230.txt,"february 18, 1981",JUSTICE BERNARD MOLDOW DIES AT 64,JUSTICE BERNARD MOLDOW DIES AT 64; SERVED 10 YEARS ON CRIMINAL BENCH,222,249,147
Indobit-A-NYT1987 - April 1 - June 30-181.txt,"may 12, 1987",Ting-Yung Hang Dies at 79,Ting-Yung Hang Dies at 79; An Ex-Journalist and Scholar,174,202,117
Indobit-A-NYT1984_1-500-284.txt,"march 5, 1984",ALAN BURNHAM IS DEAD AT 71,ALAN BURNHAM IS DEAD AT 71; ARCHITECT AND PRESERVATIONIST,738,815,389
Indobit-A-NYT1985 - July 1 - Sep 30-174.txt,"august 4, 1985",I.B.M.,"I.B.M.'S PHILIP D. ESTRIDGE, 47",411,443,239
Indobit-A-NYT1987 - Jan 1 - March 31-374.txt,"march 31, 1987",Harold Haskin Is Dead at 80,Harold Haskin Is Dead at 80; Ballet and Broadway Dancer,196,238,138
Indobit-A-NYT1981 - July 1 - Sep 30-357.txt,"september 15, 1981",WALTER ,WALTER (FURRY) LEWIS,109,113,78
Indobit-A-NYT1984_1-500-219.txt,"february 20, 1984",,,194,238,131
Indobit-A-NYT1985 - April 1 - June 30-6.txt,"april 2, 1985",Belgium,Belgium's Singing Nun Is Reported a Suicide,250,300,161
Indobit-A-NYT1984_1001-1500-368.txt,"november 19, 1984",Gwynn Cornell Is Dead at 46,Gwynn Cornell Is Dead at 46; Mezzo-Soprano at MetOpera,127,148,81
Indobit-A-NYT1985 - Oct 1 - Dec 31-365.txt,"december 21, 1985",SAMUEL J. BOYLE 3d EX-EDITOR FOR THE PHILADELPHIA BULLETIN,SAMUEL J. BOYLE 3d EX-EDITOR FOR THE PHILADELPHIA BULLETIN,193,225,129
Indobit-A-NYT1985 - April 1 - June 30-160.txt,"may 7, 1985",BREWSTER IVES IS DEAD AT 81,BREWSTER IVES IS DEAD AT 81; A LEADER IN CO-OP BUSINESS,582,647,319
Indobit-A-NYT1984_501-1000-352.txt,"july 19, 1984",SAMUEL ALLCORN JR. DIES AT 67,SAMUEL ALLCORN JR. DIES AT 67; RETIRED JERSEY APPEALS JUDGE,156,190,101
Indobit-A-NYT1985 - Jan 1 - March 31-40.txt,"january 9, 1985",SIR BRIAN HORROCKS IS DEAD AT 89,SIR BRIAN HORROCKS IS DEAD AT 89; BRITISH GENERAL IN WORLD WAR II,482,581,294
Indobit-A-NYT1984_1001-1500-31.txt,"september 1, 1984",Harold B. Thomas Dies at 87,Harold B. Thomas Dies at 87; Former Sterling Drug Officer,177,199,104
Indobit-A-NYT1986_1-500-363.txt,"march 28, 1986",Harvey L. Williams Dies at 85,Harvey L. Williams Dies at 85; An International Consultant,199,217,121
Indobit-A-NYT1980_501-904-76.txt,"october 30, 1980",Winifred ,"Winifred (Winnie) Johnson, Sang With Duke Ellington's Orchestra",193,206,118
Indobit-A-NYT1983 - July 1 - Sep 30-279.txt,"september 3, 1983",SENATOR HENRY M. JACKSON IS DEAD AT 71,SENATOR HENRY M. JACKSON IS DEAD AT 71,2201,2380,987
Indobit-A-NYT1985 - April 1 - June 30-264.txt,"june 7, 1985",HENRY BEETLE HOUGH IS DEAD AT 88,HENRY BEETLE HOUGH IS DEAD AT 88,1068,1228,586
Indobit-A-NYT1980_501-904-26.txt,"october 18, 1980",Winthrop Gardiner Jr. Dies at 67,"Winthrop Gardiner Jr. Dies at 67; Formerly Owned Gardiners Island",142,147,90
Indobit-A-NYT1983 - Oct 1 - Dec 31-406.txt,"december 30, 1983",RussellGreenman,"RussellGreenman,Executive Or",178,191,105
Indobit-A-NYT1980_501-904-314.txt,"december 16, 1980",,,161,185,114
Indobit-A-NYT1981 - April 1 - June 30-376.txt,"june 11, 1981",EDWIN H. SPENGLER IS DEAD AT 75,EDWIN H. SPENGLER IS DEAD AT 75; BROOKLYN COLLEGE DEAN EMERITUS,348,366,197
Indobit-A-NYT1982_1501-1630-115.txt,"december 31, 1982",W.B. Pressey Is Dead at 88,W.B. Pressey Is Dead at 88; Held Position at Dartmouth,212,225,133
Indobit-A-NYT1987 - April 1 - June 30-332.txt,"june 11, 1987",John Astley Gray Dies at 87,John Astley Gray Dies at 87; Won Britain's Cheapest War,159,194,120
Indobit-A-NYT1983 - April 1 - June 30-168.txt,"may 7, 1983",Stanley Benjamin Dies at 57,Stanley Benjamin Dies at 57; Architect and Builder on L.I.,156,181,104
Indobit-A-NYT1980_1-500-67.txt,"june 19, 1980",L.J.NOVOGROD,"L.J.NOVOGROD, HEADED SOOANE'S",282,288,162
Indobit-A-NYT1984_1-500-370.txt,"march 23, 1984",,,248,277,149
Indobit-A-NYT1981 - July 1 - Sep 30-3.txt,"july 1, 1981",,,141,161,98
Indobit-A-NYT1984_1-500-128.txt,"january 28, 1984",GeorgeE.DevendorfIsDead,GeorgeE.DevendorfIsDead; Headed Patchogue Light Co.,155,177,102
Indobit-A-NYT1982_1-500-309.txt,"march 10, 1982",LORD BUTLER DIES IN BRITAIN AT 79,LORD BUTLER DIES IN BRITAIN AT 79: A LONGTIME CONSERVATIVE LEADER,730,780,358
Indobit-A-NYT1983 - July 1 - Sep 30-24.txt,"july 7, 1983",PETER DEJONGH IS DEAD AT 86,PETER DEJONGH IS DEAD AT 86; DEVELOPER OF THE QUONSET HUT,280,300,173
Indobit-A-NYT1985 - April 1 - June 30-150.txt,"may 5, 1985",Edward ,Edward (Ted) Haydon Dies; Ex-U.S. Olympic Track Coach,136,166,106
Indobit-A-NYT1980_1-500-190.txt,"july 18, 1980",RALPH ,RALPH (SHUG) JORDAN DEAD AT 69; COACHED FOOTBALL AT AUBURN,381,291,169
Indobit-A-NYT1981 - April 1 - June 30-391.txt,"june 14, 1981",David W. Maurer Is Dead at 75,David W. Maurer Is Dead at 75; An Expert on Underworld Slang,164,188,112
Indobit-A-NYT1984_1-500-42.txt,"january 11, 1984",,,107,119,79
Indobit-A-NYT1984_1-500-476.txt,"april 19, 1984",,,152,183,110
Indobit-A-NYT1981 - July 1 - Sep 30-61.txt,"july 14, 1981",i,"i; Ian Peter Cargill, 65; Ex-Aide of World Bank",211,232,128
Indobit-A-NYT1984_1-500-73.txt,"january 17, 1984",Ray S. Moore Is Dead at 78,Ray S. Moore Is Dead at 78; Wrote 'Phantom' Comic Strip,134,166,100
Indobit-A-NYT1984_1001-1500-335.txt,"november 12, 1984",REV. KING DIES AT 84,"REV. KING DIES AT 84; WITH SON, A LEADER IN RIGHTS MOVEMENT",1175,1366,582
Indobit-A-NYT1987 - Jan 1 - March 31-62.txt,"january 14, 1987",Alfred Y. Allee Is Dead at 81,Alfred Y. Allee Is Dead at 81; Ex-Captain of Texas Rangers,137,157,97
Indobit-A-NYT1983 - April 1 - June 30-167.txt,"may 7, 1983",Tommaso Morlino Dies at 57,Tommaso Morlino Dies at 57; Was Italian Senate President,112,126,80
Indobit-A-NYT1981 - July 1 - Sep 30-71.txt,"july 16, 1981",SAMUEL LEMBERG DIES AT 84 INVESTOR AND A PHILANTHROPIST,SAMUEL LEMBERG DIES AT 84 INVESTOR AND A PHILANTHROPIST,416,428,206
Indobit-A-NYT1984_1-500-417.txt,"april 5, 1984",DOUGLAS COOPER DEAD AT 72,DOUGLAS COOPER DEAD AT 72; ART HISTORIAN AND COLLECTOR,607,701,333
Indobit-A-NYT1983 - Oct 1 - Dec 31-39.txt,"october 7, 1983",CARDINAL COOKE DIES AT 62 AFTER FIGHT WITH LEUKEMIA,CARDINAL COOKE DIES AT 62 AFTER FIGHT WITH LEUKEMIA,1235,1350,639
Indobit-A-NYT1981 - July 1 - Sep 30-354.txt,"september 14, 1981","Correction Appended WILLIAM LOEB IS DEAD AT 75","Correction Appended WILLIAM LOEB IS DEAD AT 75; OWNED CONSERVATIVE PAPERS",1690,1891,863
Indobit-A-NYT1984_1-500-58.txt,"january 14, 1984",Raymond Swords Dies at 64,Raymond Swords Dies at 64; Jesuit Led Holy Cross College,168,199,100
Indobit-A-NYT1985 - Jan 1 - March 31-9.txt,"january 3, 1985",Flash Elorde Is Dead at 49,Flash Elorde Is Dead at 49;Held Boxing Title in the 60's,198,235,142
Indobit-A-NYT1984_501-1000-362.txt,"july 22, 1984",,,242,272,158
Indobit-A-NYT1987 - Jan 1 - March 31-40.txt,"january 9, 1987",THOMAS HAMILTON DIES AT 77,THOMAS HAMILTON DIES AT 77; FORMER TIMES CORRESPONDENT,556,655,319
Indobit-A-NYT1981 - April 1 - June 30-229.txt,"may 13, 1981",Dr. Gerald S. Shibley Dead at 91,Dr. Gerald S. Shibley Dead at 91; Specialist in Infectious Diseases,199,211,114
Indobit-A-NYT1984_1001-1500-119.txt,"september 24, 1984",E. Brooke Lee Is Dead at 91,E. Brooke Lee Is Dead at 91; Political Leader in Maryland,195,234,123
Indobit-A-NYT1981 - Jan 1 - March 31-338.txt,"march 12, 1981",Bob Elson Is Dead at 76,Bob Elson Is Dead at 76; A Baseball Broadcaster,148,163,106
Indobit-A-NYT1986_501-1000-5.txt,"august 27, 1986",HARRY BENJAMIN DIES AT 101,HARRY BENJAMIN DIES AT 101; SPECIALIST IN TRANSSEXUALISM,471,546,287
Indobit-A-NYT1981 - Oct 1 - Dec 31-287.txt,"november 27, 1981",Dr. Edith B. Hand Dies at 51,Dr. Edith B. Hand Dies at 51; Attending Physician for G.E.,171,180,101
Indobit-A-NYT1981 - Oct 1 - Dec 31-253.txt,"november 21, 1981",A.F. SUMMER IS DEAD AT 60,A.F. SUMMER IS DEAD AT 60; MISSISSIPPI ATTORNEY GENERAL,274,280,161
Indobit-A-NYT1983 - Oct 1 - Dec 31-402.txt,"december 30, 1983",,,561,597,316
Indobit-A-NYT1982_1501-1630-51.txt,"december 16, 1982",Reza Fallah Dies at 73,Reza Fallah Dies at 73; Ex - Iranian Oil Official,145,154,97
Indobit-A-NYT1986_1501-1568-28.txt,"december 28, 1986",MARJORIE HUSTED DEAD AT 94,MARJORIE HUSTED DEAD AT 94; HELPED CREATE BETTY CROCKER,398,439,237
Indobit-A-NYT1981 - Jan 1 - March 31-212.txt,"february 13, 1981",6 TEXASGULF EXECUTIVES VICTIMS OF PLANE CRASH,6 TEXASGULF EXECUTIVES VICTIMS OF PLANE CRASH,254,259,134
Indobit-A-NYT1980_501-904-197.txt,"november 24, 1980",MONROE GOLDWATER IS DEAD AT 95,"MONROE GOLDWATER IS DEAD AT 95; AIDED JEWS DURING WORLD WAR II; B y ALFRED E. CLARK",352,363,191
Indobit-A-NYT1985 - Jan 1 - March 31-115.txt,"january 25, 1985",Clare M. Tousley Dies at 95,Clare M. Tousley Dies at 95; Social Worker for 5 Decades,150,166,110
Indobit-A-NYT1983 - Jan 1 - March 31-206.txt,"february 6, 1983",Jim Ameche Dies at 68,Jim Ameche Dies at 68; First 'Jack Armstrong',198,244,130
Indobit-A-NYT1982_501-1000-300.txt,"july 4, 1982",Frank H. Adams Is Dead at 64,Frank H. Adams Is Dead at 64; Ex-Times Circulation Director,160,183,108
Indobit-A-NYT1982_1501-1630-69.txt,"december 21, 1982",ARTHUR RUBINSTEIN DIES IN GENEVA AT 95,ARTHUR RUBINSTEIN DIES IN GENEVA AT 95,3605,2819,1127
Indobit-A-NYT1983 - April 1 - June 30-308.txt,"june 4, 1983",Burnett Guffey Is Dead at 78,Burnett Guffey Is Dead at 78; Cameraman Won Two Oscars,164,181,106
Indobit-A-NYT1985 - April 1 - June 30-144.txt,"may 4, 1985",SEGEI YUTKEVICH DIES AT 80,SEGEI YUTKEVICH DIES AT 80; LEADING SOVIET FILM MAKER,458,539,271
Indobit-A-NYT1981 - Oct 1 - Dec 31-295.txt,"november 30, 1981",,,216,242,143
Indobit-A-NYT1984_1-500-467.txt,"april 18, 1984",RODNEY W. JONES DIES AT 107,RODNEY W. JONES DIES AT 107; DEVELOPER OF HYBRID ORCHIDS,414,476,250
Indobit-A-NYT1984_1-500-8.txt,"january 3, 1984",Stuart N. Updike Dead at 79,Stuart N. Updike Dead at 79; Ex-Counsel to The Daily News,170,208,111
Indobit-A-NYT1981 - Oct 1 - Dec 31-354.txt,"december 12, 1981",Dr. Julius Burstein Dies at 81,Dr. Julius Burstein Dies at 81; A Cardiologist and Professor,151,141,85
Indobit-A-NYT1982_1501-1630-63.txt,"december 20, 1982",DWIGHT MACDONALD IS DEAD AT 76,DWIGHT MACDONALD IS DEAD AT 76; CRITIC HAD ACERBIC VIEW OF POLITICS,1428,1530,706
Indobit-A-NYT1986_501-1000-399.txt,"november 24, 1986",Arietta Z. Livanos Dies at 77,Arietta Z. Livanos Dies at 77; Shipping Family's Matriarch,205,241,129
Indobit-A-NYT1985 - Oct 1 - Dec 31-123.txt,"october 29, 1985",Willis Alexander Dies at 66,Willis Alexander Dies at 66; Bank Executive and Publisher,182,221,118
Indobit-A-NYT1982_501-1000-190.txt,"june 8, 1982",DR. WOLF SZMUNESS IS DEAD AT 63,DR. WOLF SZMUNESS IS DEAD AT 63; AN EPIDEMIOLOGIST AND RESEARCHER,782,833,387
Indobit-A-NYT1987 - Jan 1 - March 31-139.txt,"february 1, 1987",Dr. Allan V. Cox Dies at 60,Dr. Allan V. Cox Dies at 60; Geologist and Stanford Dean,187,213,129
Indobit-A-NYT1987 - Jan 1 - March 31-50.txt,"january 11, 1987",Marion E. Martin Dies at 86,Marion E. Martin Dies at 86; Began G.O.P. Women's Clubs,182,217,122
Indobit-A-NYT1981 - Jan 1 - March 31-208.txt,"february 13, 1981",ADMIRAL LORD FRASER DIES AT 93,ADMIRAL LORD FRASER DIES AT 93; WAR HERO SANK THE SCHARNHORST,487,499,260
Indobit-A-NYT1981 - Oct 1 - Dec 31-169.txt,"november 1, 1981",Lew Jenkins Is Dead at 64,Lew Jenkins Is Dead at 64; Held Lighweight Title in 1940,143,167,103
Indobit-A-NYT1985 - April 1 - June 30-53.txt,"april 12, 1985",John J. Delaney Is Dead at 74,John J. Delaney Is Dead at 74; Edited Catholic Publications,155,170,98
Indobit-A-NYT1982_1001-1500-263.txt,"october 20, 1982",SIR SIGMUND WARBURG 80,"SIR SIGMUND WARBURG 80, DIES; LED TRANSITION IN LONDON BANKING",599,638,320
Indobit-A-NYT1983 - July 1 - Sep 30-172.txt,"august 11, 1983",PROF. JOAN ROBINSON DIES AT 79,PROF. JOAN ROBINSON DIES AT 79; CAMBRDIGE UNIVERSITY ECONOMIST,876,1003,459
Indobit-A-NYT1983 - Oct 1 - Dec 31-140.txt,"october 28, 1983",D,D,166,179,110
Indobit-A-NYT1984_1001-1500-183.txt,"october 11, 1984",DAVID M. POTTER 3D,DAVID M. POTTER 3D; AERONAUTICS EXPERT INVENTED FLOW METER,262,288,155
Indobit-A-NYT1981 - July 1 - Sep 30-227.txt,"august 18, 1981",WILLIAM JENNINGS DEAD AT 60,WILLIAM JENNINGS DEAD AT 60; LED RANGERS' HOCKEY TEAM,625,688,315
Indobit-A-NYT1981 - Oct 1 - Dec 31-305.txt,"december 2, 1981",BARCLAY COOKE IS DEAD AT 69,BARCLAY COOKE IS DEAD AT 69; A CHAMPION AT BACKGAMMON,211,229,122
Indobit-A-NYT1987 - Jan 1 - March 31-318.txt,"march 18, 1987",ANTONIO LOPEZ IS DEAD AT 44,ANTONIO LOPEZ IS DEAD AT 44; WAS MAJOR FASHION ILLUSTRATOR,496,572,290
Indobit-A-NYT1987 - April 1 - June 30-248.txt,"may 27, 1987",DR. ARTHUR SACKLER DIES AT 73,DR. ARTHUR SACKLER DIES AT 73; PHILANTHROPIST AND ART PATRON,945,1028,474
Indobit-A-NYT1985 - April 1 - June 30-208.txt,"may 21, 1985","Correction Appended JOHN MARTIN IS DEAD AT 91","Correction Appended JOHN MARTIN IS DEAD AT 91; TIMES DANCE CRITIC 35 YEARS",938,1084,484
Indobit-A-NYT1981 - Jan 1 - March 31-335.txt,"march 12, 1981",SIR MAURICE OLDFIELD DEAD AT 65,SIR MAURICE OLDFIELD DEAD AT 65; FAMED EX-CHIEF OF BRITIAN'S M.I.6,363,393,211
Indobit-A-NYT1983 - April 1 - June 30-282.txt,"may 30, 1983",Dr. Gilbert Voyat Dies at 43,Dr. Gilbert Voyat Dies at 43; A Professor at City College,149,150,90
Indobit-A-NYT1985 - Oct 1 - Dec 31-196.txt,"november 15, 1985",Charles R. Stahl Dead at 65,Charles R. Stahl Dead at 65; Edited Commodities Journal,136,158,103
Indobit-A-NYT1986_501-1000-373.txt,"november 18, 1986",FARIDA A. WILEY IS DEAD AT 99,FARIDA A. WILEY IS DEAD AT 99; NATURALIST AND BIRD WATCHER,343,410,228
Indobit-A-NYT1981 - Oct 1 - Dec 31-38.txt,"october 7, 1981",GLORIA GRAHAME IS DEAD AT 55,GLORIA GRAHAME IS DEAD AT 55; PLAYED SULKING-BLONDE ROLES,415,447,236
Indobit-A-NYT1985 - July 1 - Sep 30-148.txt,"july 31, 1985",HAROLD LANG IS DEAD AT 64,HAROLD LANG IS DEAD AT 64; BROADWAY AND BALLET DANCER,681,855,393
Indobit-A-NYT1984_1-500-10.txt,"january 3, 1984",JOSEPH H. SIMONS DIES AT 86,JOSEPH H. SIMONS DIES AT 86; PIONEER IN FLUOROCARBON USE,345,385,216
Indobit-A-NYT1984_1001-1500-426.txt,"december 4, 1984",EDWARD CRANKSHAW IS DEAD AT 75,EDWARD CRANKSHAW IS DEAD AT 75; AUTHOR ON SOVIET AND HAPSBURGS,883,459,253
Indobit-A-NYT1982_501-1000-16.txt,"april 22, 1982",Samuel Shulsky Dead at 75,Samuel Shulsky Dead at 75; Writer of a Financial Column,123,134,79
Indobit-A-NYT1981 - Jan 1 - March 31-139.txt,"january 29, 1981",Rabbi Isidor Hoffman Dies at 82,Rabbi Isidor Hoffman Dies at 82; Counselor to Columbia Students,152,165,91
Indobit-A-NYT1983 - Oct 1 - Dec 31-145.txt,"october 31, 1983",,,327,362,190
Indobit-A-NYT1983 - July 1 - Sep 30-258.txt,"august 30, 1983",,,202,238,131
Indobit-A-NYT1986_1-500-343.txt,"march 22, 1986",Guy Nearing Is Dead at 96,Guy Nearing Is Dead at 96; Author and Horticulturist,189,226,115
Indobit-A-NYT1983 - Oct 1 - Dec 31-308.txt,"december 7, 1983",Dr.Sienko,"Dr.Sienko,",193,219,121
Indobit-A-NYT1984_1-500-182.txt,"february 11, 1984",Jorge Guillen Is Dead at 91,"Jorge Guillen Is Dead at 91; A Spanish Poet and Teacher",164,194,112
Indobit-A-NYT1987 - Jan 1 - March 31-197.txt,"february 18, 1987","Correction Appended Oliver Renninger Dies at 103","Correction Appended Oliver Renninger Dies at 103; Survived the First Air Crash",115,141,86
Indobit-A-NYT1981 - Jan 1 - March 31-217.txt,"february 15, 1981",LAMBERTUS N. PALAR DEAD AT 80,LAMBERTUS N. PALAR DEAD AT 80; BATTLED FOR INDONESIA'S FREEDOM,520,533,256
Indobit-A-NYT1986_501-1000-494.txt,"december 17, 1986",Lovell Thompson Dies at 84,Lovell Thompson Dies at 84; Former Publishing Executive,166,183,114
Indobit-A-NYT1983 - Jan 1 - March 31-38.txt,"january 8, 1983",NANCY HANKS DEAD AT 55,NANCY HANKS DEAD AT 55; HEADED NATIONAL ARTS GROUP,940,1053,522
Indobit-A-NYT1985 - Oct 1 - Dec 31-66.txt,"october 14, 1985",Johnny Olson Is Dead at 75,Johnny Olson Is Dead at 75; Announcer for TV Programs,183,227,129
Indobit-A-NYT1981 - Jan 1 - March 31-104.txt,"january 20, 1981",Walter G. McGahan Is Dead at 75,Walter G. McGahan Is Dead at 75; A Councilman and State Senator,105,121,73
Indobit-A-NYT1983 - April 1 - June 30-3.txt,"april 1, 1983",,'Sun-Maid' on Raisin Box Dies,144,175,117
