sentence,clause
"Dr. Irving Wolff, a former vice president for research of the RCA Laboratories and one of the developers of radar, died Sunday at Princeton Hospital in New Jersey.", a former vice president for research of the RCA Laboratories and one of the developers of radar
"Thomas P. Peardon, professor emeritus of political science at Barnard College, died Saturday at New Milford (Conn.) Hospital.", professor emeritus of political science at Barnard College
"Frank C. Wright Jr., an inventor and painter noted for his campaigns to raise money for classical art training, died of cancer last Tuesday in Martha's Vineyard (Mass.)", an inventor and painter noted for his campaigns to raise money for classical art training
"William H. Carr, the co-founder and first director of the Arizona-Sonora Desert Museum, died Friday at St. Josph's Hospital in Tucson.", the co-founder and first director of the Arizona-Sonora Desert Museum
"Alfred Lucien Foulet, professor emeritus of Romance languages and literatures at Princeton University and a faculty member for 40 years, died Wednesday at the Medical Center at Princeton, N.J.", professor emeritus of Romance languages and literatures at Princeton University and a faculty member for 40 years
"William M. Meehan, senior partner of the stock brokerage of M. J. Meehan & Company and a former governor of the New York Stock Exchange, died Sunday at Southampton (L.I.)", senior partner of the stock brokerage of M. J. Meehan & Company and a former governor of the New York Stock Exchange
"Ann Novotny, the founder of Research Reports, a New York editorial research service, died of a stroke Sunday at her home in Manhattan.", the founder of Research Reports
"Anne Peabody Donaldson, who was active in community affairs, died of cancer Wednesday at her home in New Canaan, Conn. She was 73 years old.", who was active in community affairs
"Dr. Robert Stewart Jason, dean emeritus of the Howard University College of Medicine in Washington, died last Friday at his home in Manhattan after a long illness.", dean emeritus of the Howard University College of Medicine in Washington
"J. Sydney Stone, a retired lawyer and a former board member of Avon Products, died Tuesday in the Glynn-Brunswick Memorial Hospital in Brunswick, Ga. Mr. Stone, who lived in Sea Island, Ga, and had a summer home in Greensboro, Vt., was 79 years old.", a retired lawyer and a former board member of Avon Products
"Eleanor Burke Leacock, a professor of anthropology at City College of the City University of New York, died of a stroke Thursday at the Straub Medical Center Hospital in Honolulu.", a professor of anthropology at City College of the City University of New York
"Lincoln Theodore Perry, who as Stepin Fetchit became Hollywood's first widely known black actor, died yesterday in Los Angeles.", who as Stepin Fetchit became Hollywood's first widely known black actor
"Nancy Wilson Ross, a novelist and an authority on Eastern religions, died of heart disease Jan. 18 at Indian River Memorial Hospital in Vero Beach, Fla. She was 84 years old.", a novelist and an authority on Eastern religions
"Norman Prouty, a retired radio executive who was severely beaten in a 1980 robbery in which his wife, a Reader's Digest editor, was killed, died March 27 at the Somers Manor nursing home in Somers, N.Y.", a retired radio executive who was severely beaten in a 1980 robbery in which his wife
"Stuart Dunham, editorial chairman of the Gannett organization's two newspapers here, died yesterday at his home in the suburb of Pittsford, apparently of a heart attack.", editorial chairman of the Gannett organization's two newspapers here
"Manuel W. Levine, a former State Supreme Court justice, died Friday at Long Island Jewish Hospital after a brief illness.", a former State Supreme Court justice
"Lillian Carter, the 85-year-old mother of former President Jimmy Carter, died of cancer yesterday in Americus- Sumter County Hospital in Americus, Ga., where she had been hospitalized since Tuesday.", the 85-year-old mother of former President Jimmy Carter
"Jane Sabersky, an art curator and exhibition organizer, died of a heart attack last Sunday at her home in Manhattan.", an art curator and exhibition organizer
"George Walker Buckner, former editor of World Call, the monthly journal of the Christian Church (Disciples of Christ), died Monday in Charlotte, N.C.", former editor of World Call
"Richard Moores, author and artist of the syndicated comic strip ''Gasoline Alley,'' died today at a hospital here.", author and artist of the syndicated comic strip ''Gasoline Alley
"Richard Armitage, a talent agent who made his debut as a theater producer with the hit revivals of ''Me and My Girl'' in London and New York, died Monday at his home in Stebbing, near London, following a heart attack.", a talent agent who made his debut as a theater producer with the hit revivals of ''Me and My Girl'' in London and New York
"Babette Deutsch, poet, novelist critic and editor, died in her sleep yesterday in her Manhattan apartment.", poet
"Nelson Wright Freeman, a former president and chief executive officer of Tenneco Inc., died of cancer yesterday in Houston after a long illness.", a former president and chief executive officer of Tenneco Inc.
"Dr. Franklin Ashley, a plastic surgeon whose patients included Ann-Margret and Phyllis Diller and who reconstructed the faces of deformed Vietnamese and African children, died today in Florida, his biographer said.", a plastic surgeon whose patients included Ann-Margret and Phyllis Diller and who reconstructed the faces of deformed Vietnamese and African children
"Rear Adm. Henry E. Eccles, retired, an expert on naval logistics who wrote about the dangers of the nuclear arms race, died Wednesday in Needham, Mass.", retired
"Monroe R. Sheinberg, a former director of the New York regional office and the national fact-finding department of the Anti-Defamation League of B'nai B'rith, died of cancer Thursday at Sibley Hospital in Washington.", a former director of the New York regional office and the national fact-finding department of the Anti-Defamation League of B'nai B'rith
"Dr. Erling Dorf, a geologist who was on the Princeton University faculty for 48 years, died of a cerebral hemorrhage Monday at the Princeton (N.J.) Medical Center.", a geologist who was on the Princeton University faculty for 48 years
"Mary Moody Northen, who headed 50 corporations and held the reins of the state's third-largest trust, died Monday.", who headed 50 corporations and held the reins of the state's third-largest trust
"H. Malcolm Baldrige, a lawyer who represented Nebraska in the United State House of Representatives, died Saturday at the Lutheran Home here, his family announced today.", a lawyer who represented Nebraska in the United State House of Representatives
"Andrew Freeman, a partner in the New York firm of Wachtell, Manheim & Grouf and a specialist in international law, died of a heart attack Wednesday at his home in Manhattan.", a partner in the New York firm of Wachtell
"Patrick Emmet Gorman, head of the Amalgamated Meat Cutters and Butcher Workmen of North America for more than 50 years, died Wednesday at Augustana Hospital in Chicago after a long illness.", head of the Amalgamated Meat Cutters and Butcher Workmen of North America for more than 50 years
"Joseph Godson, a former Foreign Service officer and European coordinator of the Center for Strategic and International Studies at Georgetown University in Washington, D.C., died of cancer last Friday at his home in London.", a former Foreign Service officer and European coordinator of the Center for Strategic and International Studies at Georgetown University in Washington
"Dr. Samuel D. Lipton, a psychoanalyst and clinical professor of psychiatry at the University of Illinois, died Friday at Evanston (Ill.) Memorial Hospital.", a psychoanalyst and clinical professor of psychiatry at the University of Illinois
"Vincent J. Mutari, a lawyer who was active in civil rights and in legal services to the poor, died of heart disease Sunday at the North Shore University Hospital in Manhasset, L.I.", a lawyer who was active in civil rights and in legal services to the poor
"Gerald F. Lieberman, a freelance writer, died Saturday at Long Island College Hospital in Brooklyn as a result of a stroke he suffered July 25.", a freelance writer
"Aaron Nussbaum, the founder of the Amnesty League of America and an assistant district attorney in Kings County for more than 20 years, died Saturday at Coney Island Hospital.", the founder of the Amnesty League of America and an assistant district attorney in Kings County for more than 20 years
"Herbert Rogers, a concert pianist and associate professor of music at Hunter College, died at his home in Manhattan last Saturday.", a concert pianist and associate professor of music at Hunter College
"W. Hamilton Weber, who was associated with the rental and management of the Empire State Building from 1929 to his retirement in 1980, died of pneumonia Sunday at Bayshore Hospital in Holmdel, N.J.", who was associated with the rental and management of the Empire State Building from 1929 to his retirement in 1980
"Harrison Brown, who played a key role in producing plutonium for the first atomic bombs, then spent much of his career trying to prevent further use of such weapons, died yesterday in Albuquerque, N.M.", who played a key role in producing plutonium for the first atomic bombs
"Harry L. Levy, a visiting professor of classical studies at Duke University and a former vice chancellor of the City University of New York, died today at his home in Durham.", a visiting professor of classical studies at Duke University and a former vice chancellor of the City University of New York
"Isobel Elsom Harbord, a British-born actress who as Isobel Elsom appeared in supporting roles in dozens of Broadway plays and Hollywood films in a 50-year career, died of heart failure Monday at the Motion Picture and Television Hospital in Woodland Hills, Calif. She was 87 years old.", a British-born actress who as Isobel Elsom appeared in supporting roles in dozens of Broadway plays and Hollywood films in a 50-year career
"Vinoba Bhave, a widely venerated disciple of Mohandas K. Gandhi and one of India's best-known social reformers, died yesterday at his retreat in the west Indian state of Maharashtra, the United News of India reported.", a widely venerated disciple of Mohandas K. Gandhi and one of India's best-known social reformers
"Ray Harrison, a Broadway dancer, choreographer and dance teacher, died on July 27 in Boston.", a Broadway dancer
"Adam John Cirillo, one of the most successful high school football coaches in the city, died yesterday at his home in Staten Island.", one of the most successful high school football coaches in the city
"Rear Adm. Winfield Scott Cunningham of the Navy, who was the commander of United States forces on Wake Island when it was captured by the Japanese shortly after the attack on Pearl Harbor, died here Monday.", who was the commander of United States forces on Wake Island when it was captured by the Japanese shortly after the attack on Pearl Harbor
"Howard Henri Quint, professor of American history at the University of Massachusetts, died yesterday at the Cooley Dickinson Hospital in Northampton, Mass., after a brief illness.", professor of American history at the University of Massachusetts
"Pola Kostrukoff, a prominent fashion designer in the 1940's and 50's who created the inauguration gown worn by Bess Truman in 1949, died Friday of cancer at her home in Island Park, L.I.", a prominent fashion designer in the 1940's and 50's who created the inauguration gown worn by Bess Truman in 1949
"Catherine T. MacArthur, who helped her late husband, John D. MacArthur, build a billion-dollar insurance and real estate fortune, died in Palm Beach Shores, Fla., Tuesday after a long illness.", who helped her late husband
"Rudolph C. Kopf, founder of the Kobrand Corporation, a leading importer of wines and spirits, died Sunday at North Shore University Hospital in Manhasset, L.I.", founder of the Kobrand Corporation
"Richard Ellington, a mystery story and radio script writer who also owned a winter resort in the United States Virgin Islands, died Friday in Fort Lauderdale, Fla.", a mystery story and radio script writer who also owned a winter resort in the United States Virgin Islands
"Charles Samuels, the journalist and biographer of Clark Gable, Tex Rickard, Ethel Waters and other celebrities, died April 27 in Cuernavaca, Mexico, where he had lived in retirement for the last several years.", the journalist and biographer of Clark Gable
"Carleton G. Eldridge Jr., a senior partner in the New York law firm of Coudert Brothers, died in his sleep Sunday while vacationing in St. Croix, V.I.", a senior partner in the New York law firm of Coudert Brothers
"Hervey F. Law, who guided the development of major airports in the Northeast, died Dec. 17 at the Lake Wales (Fla.) Hospital.", who guided the development of major airports in the Northeast
"Wes Ellis Jr., who dominated golf in New Jersey for many years and won three professional tour events, died at Holy Name Hospital Monday.", who dominated golf in New Jersey for many years and won three professional tour events
"Allison Danzig, a sportswriter for The New York Times for 45 years and an authority on tennis, football and rowing, died yesterday of a heart attack at Valley Hospital in Ridgewood, N.J.", a sportswriter for The New York Times for 45 years and an authority on tennis
"William Newell, a former insurance executive and industrial safety engineer, died of a heart attack Wednesday in a private sanitarium in Montclair, N.J.", a former insurance executive and industrial safety engineer
"Robert F. Mackle, whose family pioneered the development of major Florida communities, died Wednesday night in Miami.", whose family pioneered the development of major Florida communities
"Harold J. Lamm, who founded a brokerage firm that for many years carried his name, died Monday at Greenwich Hospital after a long illness.", who founded a brokerage firm that for many years carried his name
"William Beck Widnall, a New Jersey Republican who represented northern Bergen County in the House of Representatives for 25 years, died Wednesday in a Ridgewood nursing home after a long illness.", a New Jersey Republican who represented northern Bergen County in the House of Representatives for 25 years
"Edith G. Alt, the first director of the department of social work at both the United Hospital Fund and the Health Insurance Plan of New York, died Tuesday at Mount Sinai Hospital.", the first director of the department of social work at both the United Hospital Fund and the Health Insurance Plan of New York
"Representative George M. O'Brien, Republican of Illinois, died today.", Republican of Illinois
"Isabelle Rogers Finch, who was in a World War I recruiting poster for the Navy, died Monday in a Long Island nursing home.", who was in a World War I recruiting poster for the Navy
"Charles S. Woolsey, former counsel to the Federal Bureau of Public Roads in Washington, died of a heart attack Sunday while on vacation in Utah.", former counsel to the Federal Bureau of Public Roads in Washington
"Dr. Russel V.A. Lee, who helped make group practice an important part of American health care, died Wednesday at his home in Portola Valley, Calif.", who helped make group practice an important part of American health care
"Lewis Rotberg, a lawyer active in Newark for almost 50 years, died Saturday in Miami Beach after a long illness.", a lawyer active in Newark for almost 50 years
"Randolph Scott, a versatile leading man who later specialized in playing the quiet-talking, fast-drawing hero of westerns, died today at his Bel-Air home.", a versatile leading man who later specialized in playing the quiet-talking
"Dr. Lester J. Evans, a retired medical and health consultant, died Monday at his home in Kennett Square, Pa.", a retired medical and health consultant
"Former Associate Justice Abe Fortas, who resigned from the Supreme Court in 1969, died of a ruptured aorta Monday night at his home here.", who resigned from the Supreme Court in 1969
"Sir Edward Youde, the Governor of Hong Kong, who negotiated the agreement that will return the British crown colony to China in 1997, died Thursday night while on a visit to Beijing.", the Governor of Hong Kong
"Dr. John R. Johnson, Todd Professor Emeritus of Chemistry at Cornell University, died of emphysema Wednesday at his home in Townshend, Vt.", Todd Professor Emeritus of Chemistry at Cornell University
"Charles Robberts Swart, South Africa's first State President and participant in the drafting of some of the nation's apartheid laws, died Friday night at Universitas Hospital.", South Africa's first State President and participant in the drafting of some of the nation's apartheid laws
"Bob Addie, a retired sports columnist and former president of the Baseball Writers Asso ciation of America, died Monday n ight.", a retired sports columnist and former president of the Baseball Writers Asso ciation of America
"Dr. Albert Kinkade Chapman, who retired as chairman of the Eastman Kodak Company in 1967 after nearly 50 years with the company, died yesterday at his home in suburban Rochester.", who retired as chairman of the Eastman Kodak Company in 1967 after nearly 50 years with the company
"Ladislas Farago, the author who contended in 1972 that Martin Bormann, Hitler's aide, was alive and living in Argentina, died Wednesday in Lenox Hill Hospital in New York after a brief illness.", the author who contended in 1972 that Martin Bormann
"J. P. Elder, professor emeritus of Greek and Latin at Harvard University and a former dean, died Jan. 1 of a heart attack while traveling in Italy, the university announced today.", professor emeritus of Greek and Latin at Harvard University and a former dean
"Murray Siegel, executive director of the West Side Chamber of Commerce and founder in 1977 of the annual Columbus Avenue festival, died yesterday at Montefiore Hospital in the Bronx after a long illness.", executive director of the West Side Chamber of Commerce and founder in 1977 of the annual Columbus Avenue festival
"Harris Rosenbaum, co-founder of the Milford, Conn., Academy and a teacher and administrator at the institution for almost six decades, died Saturday after a brief illness.", co-founder of the Milford
"Aram A. Avakian, a film editor and educator who directed the graphic and unsettling 1970 film ''End of the Road,'' died of heart failure early Saturday morning at his home on the Upper West Side of Manhattan.", a film editor and educator who directed the graphic and unsettling 1970 film ''End of the Road
"Albert G. Miller, playwright, radio scriptwriter and author of children's books, died Friday in Doctors Hospital after a long illness.", playwright
"Brig. Gen. James W. Gerard, a retired Army officer and real-estate executive, died of kidney failure on Saturday.", a retired Army officer and real-estate executive
"James Campbell Hodge, retired chairman and chief executive officer of Warner & Swasey Company, died Friday at his home, apparently of a heart attack.", retired chairman and chief executive officer of Warner & Swasey Company
"Samuel C. Feuerstein, a New England textile manufacturer who was prominent in Hebrew education, died Friday in Deaconess Hospital in Boston.", a New England textile manufacturer who was prominent in Hebrew education
"Ruby Hart Phillips, a correspondent for The New York Times who covered the the rise of Fidel Castro, died Monday at Cape Canaveral Hospital in Cocoa Beach, Fla. She was a resident of Merritt Island and was 82 years old.", a correspondent for The New York Times who covered the the rise of Fidel Castro
"Donald W. Douglas, who brought mass airline travel to the world with his prewar DC-3, died Sunday in Desert Hospital, Palm Springs, Calif. Mr. Douglas, who had been in declining health for several months, was 88 years old.", who brought mass airline travel to the world with his prewar DC-3
"Thomas H. McDonough, executive vice president of the Civil Service Employees Association in Albany, died Sunday of a heart attack at his home in Colonie, N.Y.", executive vice president of the Civil Service Employees Association in Albany
"Sidney Goldstein, who was general counsel of the Port Authority of New York and New Jersey for 20 years, died of a heart attack Thursday at his physician's office in Manhattan.", who was general counsel of the Port Authority of New York and New Jersey for 20 years
"Katherine K. Neuberger, a member of the New Jersey Board of Higher Education and a former member of the Republican National Committee, died Friday at Riverview Hospital.", a member of the New Jersey Board of Higher Education and a former member of the Republican National Committee
"The Rev. Dr. Leland William Frederick Stark, former Episcopal Bishop of Newark, died Thursday at Mountainside Hospital in Montclair, N.J., after suffering a heart attack.", former Episcopal Bishop of Newark
"Arthur C. Ford, a civil engineer and former president of the New York City Board of Water Supply, died Saturday at St. Joseph's Hospital in Flushing, Queens.", a civil engineer and former president of the New York City Board of Water Supply
"Brenda Biram, the former editor of the book division of the Johnson Publishing Company, died of a kidney ailment in New York Hospital last Thursday.", the former editor of the book division of the Johnson Publishing Company
"Charles Morse Stotz, an architect best known for his work in architectural restoration, died Tuesday at Shell Point Village, a retirement home in Fort Meyers, Fla.", an architect best known for his work in architectural restoration
"Victor D'Amico, a pioneer in art education and the director of the education department at the Museum of Modern Art for more than 30 years, died Monday at the Southampton Nursing Home in Southampton, L.I.", a pioneer in art education and the director of the education department at the Museum of Modern Art for more than 30 years
"Maria Augusta von Trapp, the guiding force behind a family of singers who won world renown when their story was portrayed in the play and film ''The Sound of Music,'' died of heart failure Saturday in Morrisville, Vt., three days after undergoing surgery.", the guiding force behind a family of singers who won world renown when their story was portrayed in the play and film ''The Sound of Music
"Austin Loomer Rand, an explorer and zoologist whose travels contributed many rare animal and plant specimens to the collections at the American Museum of Natural History, died Saturday at Walker Memorial Hospital in Avon Park, Fla.", an explorer and zoologist whose travels contributed many rare animal and plant specimens to the collections at the American Museum of Natural History
"Charles Jay Oppenheim Jr., a retailer and civic leader who founded the Jay Thorpe specialty stores in 1920, died last night at his home in Manhattan.", a retailer and civic leader who founded the Jay Thorpe specialty stores in 1920
"George J. Kneeland, former chairman of the board and chief executive officer of the St. Regis Paper Company, died Sunday while vacationing in Fort Lauderdale, Fla. Mr. Kneeland, a longtime resident of Harrington Park, N.J., was 65 years old.", former chairman of the board and chief executive officer of the St. Regis Paper Company
"William Donaldson Clark, a writer, diplomat, and former vice president of the World Bank, died Thursday night of liver cancer at his home in the Oxfordshire village of Cuxham.", a writer
"Vera Caspary, a novelist, playwright and screenwriter best known for her films ''Laura,'' ''Letter to Three Wives'' and ''Les Girls,'' died of a stroke Saturday at St. Vincent's Hospital.", a novelist
"Dr. John R. Rice, a broadcast evangelist who sold more than 60 million copies of more than 200 religious books and booklets, died yesterday in a Murfreesboro hospital.", a broadcast evangelist who sold more than 60 million copies of more than 200 religious books and booklets
"Dr. William M. Sale Jr., a former professor of English at Cornell University, died Tuesday at the age of 81 at the Oak Hill Nursing Home in Ithaca, N.Y.", a former professor of English at Cornell University
"Earl Hill, an artist and retired art teacher, died Friday at his home in Freeport, L.I.", an artist and retired art teacher
"Harry J. Doyle, who was a senior executive of Revlon Inc., the cosmetics company, died Friday at his home in Manhattan.", who was a senior executive of Revlon Inc.
"Robert Aldrich, who scorned his family's banking empire to chronicle a cavalcade of misfits as a film director, died of kidney failure Monday at his home in Los Angeles.", who scorned his family's banking empire to chronicle a cavalcade of misfits as a film director
"Thomas M. Hederman Jr., former editor and owner of The Clarion-Ledger and other Mississippi newspapers, died Sunday night after a long illness.", former editor and owner of The Clarion-Ledger and other Mississippi newspapers
"Dr. Philip Handler, who retired last June after 12 years as president of the National Academy of Sciences, died yesterday at New England Deaconess Hospital at the age of 64.", who retired last June after 12 years as president of the National Academy of Sciences
"Alexander Ector Orr Munsell, the Harvard-educated scion of a family of bankers and industrialists who gave away a fortune and lived a life of austerity and radical politics, died of a heart attack Saturday at Beekman Downtown Hospital.", the Harvard-educated scion of a family of bankers and industrialists who gave away a fortune and lived a life of austerity and radical politics
"Edward Francis McGinley jr., a former president and member of the board of the Beneficial Savings Bank of Philadelphia, died Tuesday at Point Pleasant Hospital, Point Pleasant, N.J., after a brief illness.", a former president and member of the board of the Beneficial Savings Bank of Philadelphia
"Dr. Harvey Brandon, who practiced internal medicine in New York City from 1936 until last April, died Thursday night at Glen Cove (L.I.)", who practiced internal medicine in New York City from 1936 until last April
"Bernard G. Gronert, former executive editor of the Columbia University Press, died Wednesday, apparently of a heart attack, at Riverview Hospital in Red Bank, N.J.", former executive editor of the Columbia University Press
"James F. Engers, a former Dutch diplomat who worked for the United Nations for 30 years and who was director of its Council for Namibia, died of a heart attack Wednesday night in New York.", a former Dutch diplomat who worked for the United Nations for 30 years and who was director of its Council for Namibia
"Catharine Sargent Huntington, an actress, director and producer and a manager of the Provincetown Playhouse on the Wharf on Cape Cod, Mass., died Friday at Sherrill House, a Boston nursing home where she had lived for several years.", an actress
"The Rev. David W. Barry, the president of the Fellowship Center since 1978 and former executive director of the New York City Mission Society, died yesterday at his home in Armonk, N.Y.", the president of the Fellowship Center since 1978 and former executive director of the New York City Mission Society
"William E. Bennett Jr., a lawyer who served as an adviser to the Secretary of Labor in the Truman Administration.", a lawyer who served as an adviser to the Secretary of Labor in the Truman Administration.
"Darrell Booth, who built a small group of tent sites into the largest campground system in the United States, died last night of bone cancer.", who built a small group of tent sites into the largest campground system in the United States
"Alexander C. Neave, a retired lawyer and former president of the New York Patent Law Association, died last Friday at Norwalk (Conn.) Hospital.", a retired lawyer and former president of the New York Patent Law Association
"Charles F. Bomer of Rifton, N.Y., an accountant and former associate of the multimillionaire Vincent Astor, died Saturday in Lynchburg, Va.", N.Y.
"FRANKFORT, Mich. Prof. Howard Y. McClusky, who devoted much of his career to research on aging and served in White House conferences on the subject, died here Sunday.", Mich. Prof. Howard Y. McClusky
"The Rev. Ernest Edwin Ryden, a Lutheran minister, journalist and hymnologist who helped unify four denominations to form the Lutheran Church in America, died Thursday in Providence, R.I.", a Lutheran minister
"Michael Lee, a former member of the New York State Racing and Wagering Board and a former sports editor for The Long Island Press, died Saturday night at Mary Immaculate Hospital in Jamaica, Queens, after a long illness.", a former member of the New York State Racing and Wagering Board and a former sports editor for The Long Island Press
"Walter J. Mahoney, a former leader of the Republican majority in the New York State Senate and a retired justice of the State Supreme Court, died yesterday at the Erie County Medical Center in Buffalo after a long illness.", a former leader of the Republican majority in the New York State Senate and a retired justice of the State Supreme Court
"Guerin Benedict Carmody, a former Chief Judge of the Connecticut Assembly of Trial Justices, died Monday at Waterbury (Conn.) Hospital.", a former Chief Judge of the Connecticut Assembly of Trial Justices
"Uwe Johnson, a leading immigrant East German novelist who lived for a time in the United States, has died in England, the Berlin Academy of Art reported yesterday.", a leading immigrant East German novelist who lived for a time in the United States
"Marshal Filipp I. Golikov, a Soviet military commander during World War II, has died here.", a Soviet military commander during World War II
"Leonard S. Sanweiss, a New York lawyer, died of a heart attack yesterday en route by air from Puerto Rico to New York, where he had been attending a trial.", a New York lawyer
"Arthur Cooperman, a lawyer who was chairman of the State Workers' Compensation Board, died of cancer yesterday at Nassau Hospital in Mineola, L.I.", a lawyer who was chairman of the State Workers' Compensation Board
"Sergei P. Izotov, one of the Soviet Union's leading designers of aircraft engines, died May 6 in Leningrad, according to Soviet newspapers received in New York.", one of the Soviet Union's leading designers of aircraft engines
"Delbert Oberteuffer, professor emeritus of physical education at Ohio State University, died last Thursday in Hyannis, Mass.", professor emeritus of physical education at Ohio State University
"Erich Linder, an international literary agent who represented many American authors, agents and publishers, died Wednesday at his home in Milan, Italy.", an international literary agent who represented many American authors
"John E. Cookman, a retired senior vice president and chief financial officer of Philip Morris, died Thursday at Champlain Valley Physicians Hospital in Plattsburgh, N.Y.", a retired senior vice president and chief financial officer of Philip Morris
"Henry J. Smith, a Westchester County lawyer who had been president of the state, county and White Plains bar associations, died Tuesday at his home in Greenburgh, N.Y., after a long illness.", a Westchester County lawyer who had been president of the state
"Mirko Paneyko, founder and president of the M. P. Audio Corporation of Fairfield, Conn., a maker of custom sound systems, died Sunday at Bridgeport Hospital after a long illness.", founder and president of the M. P. Audio Corporation of Fairfield
"(UPI) - Barney Seibert, a long-time reporter for United Press International, was found dead in his apartment late Tuesday.", a long-time reporter for United Press International
"Paul Grafe, a construction engineer whose projects included Hickam Field in Hawaii and the Madden Dam in Panama, died yesterday.", a construction engineer whose projects included Hickam Field in Hawaii and the Madden Dam in Panama
"Tibor Szegezdy, structural engineer for a number of major new buildings in New York and other cities, died of cancer yesterday at Lenox Hill Hospital.", structural engineer for a number of major new buildings in New York and other cities
"Judge Richard T. Rives, a member of United States Court of Appeals for the Fifth Circuit, whose landmark legal decisions helped desegregate the South, died at his home in Montgomery, Ala., Wednesday after a long illness.", a member of United States Court of Appeals for the Fifth Circuit
"Marie E. Eichelberger, a former executive director of the Institute for Intercultural Studies, died last Thursday at the Isabella Geriatric Center in Manhattan, where she lived.", a former executive director of the Institute for Intercultural Studies
"Devin Adair Garrity, president of the Devin-Adair Publishing Company, died Tuesday at his home in Rye, N.Y.", president of the Devin-Adair Publishing Company
"Miklos Gafni, a tenor who gave up a professional singing career 15 years ago to form Michel's Magnifique, a Bronx-based packaged gourmet food concern, died of a heart attack Sunday at Kennedy International Airport on arriving from a business trip to California.", a tenor who gave up a professional singing career 15 years ago to form Michel's Magnifique
"Walter Arm, the deputy police commissioner in charge of community and press relations for the New York City Police Department from 1955 to 1965, died yesterday of heart failure at the Tarzana Medical Center in Tarzana, Calif.", the deputy police commissioner in charge of community and press relations for the New York City Police Department from 1955 to 1965
"Eleanor F. Francke, former president of the Young Women's Christian Association of Greater New York and a former vice president of the Junior League of New York City, died Friday at Southampton (L.I.)", former president of the Young Women's Christian Association of Greater New York and a former vice president of the Junior League of New York City
"The Rev. I. DeQuincey Newman, a dominant figure in the civil rights movement in South Carolina and the state's first black State Senator since 1888, died Monday at Richmond Memorial Hospital of complications from cancer.", a dominant figure in the civil rights movement in South Carolina and the state's first black State Senator since 1888
"Alvin R. Grant, retired senior vice president of Madison Square Garden Center, died of cancer Friday in Palm City, Fla., where he lived since his retirement last November.", retired senior vice president of Madison Square Garden Center
"Merrill Mueller, a print and broadcast jour nalist for 40 years, died Sunday night in Santa Monica, Calif., af ter a long illness.", a print and broadcast jour nalist for 40 years
"Dr. W. Pepper Constable, a physician and a former chief of medicine at the Princeton (N.J.) Medical Center, drowned while swimming Wednesday near his summer home on Nantucket, Mass.", a physician and a former chief of medicine at the Princeton (N.J.) Medical Center
"C. F. Louis DeWild, for many years a leading professional in the field of painting conservation and the restorer of great paintings that are now in the Metropolitan Museum, the National Gallery of Art, the Frick Collection and elsewhere, died at New York Hospital-Cornell Medical Center on April 2.", for many years a leading professional in the field of painting conservation and the restorer of great paintings that are now in the Metropolitan Museum
"Lieut. Col. Ruth M. Briggs, retired, who was one of the first women sent abroad as an officer in World War II, died Tuesday at her home here.", retired
"Abram Chasins, a composer and pianist and the former music director of radio station WQXR, died of cancer Sunday at his home in Manhattan.", a composer and pianist and the former music director of radio station WQXR
"Dr. Christopher Tietze, an authority on the hazards of contraception and pregnancy, died yesterday at his home in Manhattan.", an authority on the hazards of contraception and pregnancy
"William Stone Luckett, a vice president of the Morgan Guaranty Trust Company of New York who had been in charge of its office at 40 Rockefeller Plaza, died yesterday of cancer at his home in Larchmont, N.Y.", a vice president of the Morgan Guaranty Trust Company of New York who had been in charge of its office at 40 Rockefeller Plaza
"Eugene L. Belisle, an advertising and public-relations consultant who directed the Hartford Development Commission from 1965 to 1975, died last Friday at his home in Hartford following recent surgery for a brain tumor.", an advertising and public-relations consultant who directed the Hartford Development Commission from 1965 to 1975
"Harry D. Margulies, a retired lawyer who had been an expert on workmen's compensation, died Tuesday at the Workmen's Circle Home for the Aged in the Bronx.", a retired lawyer who had been an expert on workmen's compensation
"Ralph Pallen Coleman Jr., the founder and president of the Overthe-Counter Securities Fund Inc., died Tuesday of viral pneumonia at Abington Memorial Hospital in Pennsylvania.", the founder and president of the Overthe-Counter Securities Fund Inc.
"Dr. George Winter, retired chairman of the department of structural engineering at Cornell University, died Tuesday in Ithaca, N.Y.", retired chairman of the department of structural engineering at Cornell University
"Karl Struss, the Academy Award-winning cinematographer who did the camera work in the 1925 version of ''Ben Hur'' and filmed all of Mary Pickford's movies, died of heart failure Wednesday at St. John's Hospital.", the Academy Award-winning cinematographer who did the camera work in the 1925 version of ''Ben Hur'' and filmed all of Mary Pickford's movies
"Frederique Petrides, a pioneering woman conductor who led orchestras in New York and founded the West Side Community Concerts, died yesterday in Manhattan.", a pioneering woman conductor who led orchestras in New York and founded the West Side Community Concerts
"Elizabeth Lyman Frelinghuysen, a vice president and trustee of the New Jersey Historical Society, died Thursday at Princeton (N.J.) Medical Center.", a vice president and trustee of the New Jersey Historical Society
"Walter Abel, an actor who appeared in the earliest plays of Eugene O'Neill in the 1920's and who continued to work on stage and in films for more than 50 years, died Thursday at Chesterfields Nursing home in Essex, Conn.", an actor who appeared in the earliest plays of Eugene O'Neill in the 1920's and who continued to work on stage and in films for more than 50 years
"Stefan Cardinal Wyszynski, the Roman Catholic Primate of Poland, died of stomach cancer early today.", the Roman Catholic Primate of Poland
